ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
2LS2,small_airport,Chitimacha Air Park,14,NA,US,US-LA,Charenton,2LS2,,2LS2,"-91.543056, 29.872222"
2LS3,small_airport,Majors Airpark,34,NA,US,US-LA,Melville,2LS3,,2LS3,"-91.752064, 30.618244"
2M1,small_airport,Harry S Truman Regional Airport,860,NA,US,US-MO,Bates City,2M1,,2M1,"-94.08719635009766, 39.01810073852539"
2M5,seaplane_base,Stockton Lake Seaplane Base,867,NA,US,US-MO,Stockton,2M5,,2M5,"-93.75849914550781, 37.650001525878906"
2M7,small_airport,Hoffman's Black Mountain Aerodrome,677,NA,US,US-MI,Cheboygan,2M7,,2M7,"-84.30809783935547, 45.531898498535156"
2MA2,heliport,Digital Heliport,450,NA,US,US-MA,Hudson,2MA2,,2MA2,"-71.40950012207031, 42.326499938964844"
2MA3,heliport,Rider Heliport,40,NA,US,US-MA,Ipswich,2MA3,,2MA3,"-70.83979797363281, 42.66429901123047"
2MA4,heliport,Compaq Littleton Heliport,300,NA,US,US-MA,Littleton,2MA4,,2MA4,"-71.47260284423828, 42.54930114746094"
2MA5,heliport,Compaq Powdermill Road Heliport,175,NA,US,US-MA,Maynard,2MA5,,2MA5,"-71.45760345458984, 42.42789840698242"
2MA6,seaplane_base,Flynns Noquochoke Seaplane Base,,NA,US,US-MA,Westport,2MA6,,2MA6,"-71.06529998779297, 41.59360122680664"
2MA7,seaplane_base,Falls Pond Seaplane Base,175,NA,US,US-MA,North Attleborough,2MA7,,2MA7,"-71.32640075683594, 41.95840072631836"
2MA8,heliport,Compaq Stow Heliport,250,NA,US,US-MA,Stow,2MA8,,2MA8,"-71.54170227050781, 42.43090057373047"
2MA9,heliport,Digital Heliport,130,NA,US,US-MA,Tewksbury,2MA9,,2MA9,"-71.22450256347656, 42.63930130004883"
2MD0,small_airport,Anderson Farm Airport,8,NA,US,US-MD,Marion,2MD0,,2MD0,"-75.70349884033203, 38.04869842529297"
2MD1,small_airport,Recompense Farm Airport,30,NA,US,US-MD,Clements,2MD1,,2MD1,"-76.72470092773438, 38.30849838256836"
2MD2,heliport,Aerospace Tech Center Heliport,415,NA,US,US-MD,Columbia,2MD2,,2MD2,"-76.82610321044922, 39.23649978637695"
2MD3,small_airport,Fly Away Farm Airport,501,NA,US,US-MD,Boyds,2MD3,,2MD3,"-77.345333, 39.229"
2MD4,small_airport,Ennis Aerodrome,44,NA,US,US-MD,Salisbury,2MD4,,2MD4,"-75.55740356445312, 38.39459991455078"
2MD5,small_airport,Hoby Wolf Airport,600,NA,US,US-MD,Eldersburg,2MD5,,2MD5,"-76.9275556, 39.4079444"
2MD6,small_airport,Cherry Field,8,NA,US,US-MD,Lexington Park,2MD6,,2MD6,"-76.47219848632812, 38.14400100708008"
2MD7,heliport,Maritime Institute Heliport,170,NA,US,US-MD,Linthicum Heights,2MD7,,2MD7,"-76.6718978881836, 39.21120071411133"
2MD8,small_airport,Greater Gortner Airport,2500,NA,US,US-MD,Oakland,2MD8,,2MD8,"-79.44139862060547, 39.33340072631836"
2me3,small_airport,Heartstone Farm Airport,230,NA,US,US-ME,Charleston,2ME3,,2ME3,"-68.990021, 45.04135"
2MI0,small_airport,Woodside Airport,615,NA,US,US-MI,Chesaning,2MI0,,2MI0,"-84.04720306396484, 43.21670150756836"
2MI1,heliport,Spectrum Health Blodgett Heliport,800,NA,US,US-MI,Grand Rapids,2MI1,,2MI1,"-85.622299, 42.953403"
2MI2,heliport,St. Mary Hospital Heliport,665,NA,US,US-MI,Livonia,2MI2,,2MI2,"-83.40409851074219, 42.427799224853516"
2MI3,small_airport,Larry D Boven Airport,890,NA,US,US-MI,Galesburg,2MI3,,2MI3,"-85.46330261230469, 42.3125"
2MI4,small_airport,Mc Jilton Field,729,NA,US,US-MI,St Louis,2MI4,,2MI4,"-84.57140350339999, 43.4056015015"
2MI5,small_airport,Somerville Airport,660,NA,US,US-MI,Ada,2MI5,,2MI5,"-85.48639678955078, 42.94169998168945"
